epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,325.464,2.15949,1.32816,0.94124,0.3117,0.33517,0.19132,0.06473,2.91299,1.72541,1.04591,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,328.589,2.10362,1.27434,0.94771,0.33347,0.2787,0.16725,0.06344,2.92299,1.64267,1.07627,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,331.812,2.13692,1.28079,0.95318,0.34111,0.32535,0.19202,0.06121,2.94291,1.70627,1.0541,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,334.516,2.12079,1.31757,0.96768,0.29067,0.29834,0.16325,0.05802,2.98381,1.78278,1.07864,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,337.843,2.10519,1.26124,0.96981,0.33481,0.25831,0.16002,0.06284,3.00775,1.71938,1.08918,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,341.184,2.17994,1.27384,0.94364,0.33744,0.27747,0.17449,0.06414,2.91064,1.66715,1.04509,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,344.519,2.18253,1.249,0.96993,0.35336,0.29405,0.18386,0.06968,2.86981,1.67744,1.04499,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,347.928,2.11751,1.24617,0.93911,0.36747,0.26458,0.16889,0.06523,2.91164,1.70291,1.0584,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,351.018,2.08236,1.24165,0.94442,0.31906,0.31185,0.18637,0.06602,2.83065,1.59918,1.02932,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,354.118,2.06096,1.18069,0.94532,0.41787,0.2744,0.18215,0.06768,2.89638,1.64095,1.05841,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,357.305,2.13113,1.34854,0.95401,0.41749,0.27686,0.17922,0.06232,2.81194,1.68816,1.02106,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,360.373,2.05371,1.32108,0.96974,0.41255,0.31815,0.22483,0.08461,2.77085,1.55343,1.02269,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,363.559,2.03307,1.22095,0.957,0.46173,0.2701,0.2371,0.08306,2.93723,1.65393,1.05477,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,367.028,2.14074,1.22206,0.97438,0.48264,0.27808,0.24363,0.08722,2.82123,1.59172,1.03726,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,370.483,2.03791,1.13534,0.94857,0.30063,0.3229,0.20503,0.07788,2.83174,1.73354,1.03488,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,373.589,2.12204,1.31119,0.95296,0.41244,0.47084,0.33085,0.10045,2.64974,1.47021,0.99326,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,376.793,2.15963,1.24606,0.95275,0.40005,0.42296,0.27622,0.09202,2.78977,1.31852,1.03123,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,379.749,2.05857,1.34363,0.94861,0.47452,0.37876,0.23917,0.07715,2.79733,1.30114,1.0341,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,382.474,2.04333,1.23812,0.94435,0.47363,0.36955,0.27045,0.08792,2.78847,1.3333,1.03146,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,392.616,2.1235,1.21712,0.95765,0.4125,0.32542,0.24517,0.07494,2.95566,1.4396,1.06635,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,395.717,2.1399,1.23583,0.95192,0.4429,0.29405,0.24046,0.08295,2.84697,1.48472,1.04252,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,399.102,2.06824,1.18883,0.9309,0.38236,0.29642,0.17258,0.04861,3.09564,1.5497,1.10538,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,402.201,2.01678,1.22598,0.93691,0.37779,0.27808,0.15031,0.04339,3.12947,1.56489,1.12027,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,405.168,2.05416,1.26386,0.93559,0.38303,0.26826,0.16712,0.04504,3.14837,1.56987,1.10373,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,408.173,2.14459,1.26739,0.94319,0.44452,0.26949,0.21436,0.06945,2.93432,1.44769,1.05732,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,411.157,2.03258,1.27519,0.92941,0.37811,0.40945,0.26669,0.08769,2.72601,1.41324,1.02007,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,414.475,2.01892,1.26577,0.94802,0.32888,0.37508,0.19174,0.06173,2.8926,1.38561,1.05836,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,417.215,1.99578,1.23062,0.93344,0.35985,0.40884,0.22547,0.07621,2.72457,1.36684,1.02229,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,434.068,2.13574,1.20524,0.95251,0.36829,0.37569,0.20375,0.06333,2.90934,1.38042,1.06704,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,437.273,2.06253,1.20599,0.95369,0.33313,0.34868,0.19717,0.05409,3.11002,1.44459,1.11629,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,440.189,2.03869,1.24131,0.93996,0.46464,0.26581,0.20106,0.05599,3.10729,1.45609,1.10314,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,443.235,2.0197,1.23906,0.93672,0.4924,0.26499,0.20845,0.05868,3.06273,1.47071,1.0871,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,445.766,2.0061,1.23648,0.94624,0.46519,0.26484,0.19414,0.04067,3.25076,1.59683,1.14044,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,448.601,1.98683,1.25001,0.9493,0.52213,0.28729,0.2528,0.08323,2.87966,1.39447,1.0469,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,451.396,1.99464,1.19096,0.93307,0.5743,0.27072,0.2483,0.09173,2.80683,1.5237,1.03478,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,453.853,2.0577,1.23834,0.95129,0.54168,0.28484,0.26989,0.08565,2.76292,1.49221,1.03406,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,456.912,2.05676,1.20383,0.95471,0.42175,0.43401,0.30872,0.09092,2.71566,1.44727,1.02544,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,460.089,1.99235,1.18628,0.94061,0.40859,0.37753,0.26729,0.09212,2.74367,1.39116,1.03504,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,463.401,2.07059,1.17499,0.93165,0.4093,0.35482,0.22193,0.07545,2.86877,1.38386,1.06665,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,466.714,1.96411,1.18238,0.92443,0.41677,0.30018,0.1929,0.06702,2.87933,1.41827,1.07688,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,469.852,2.05991,1.17665,0.93183,0.48211,0.28791,0.20306,0.07473,2.77836,1.45776,1.05172,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,473.289,2.02144,1.16948,0.93389,0.4979,0.29896,0.2199,0.07732,2.75703,1.49513,1.03881,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
